Generating 11 banners...
[1/11] pizza_banner...   OK pizza_banner (159254b)
[2/11] feteer_banner...   OK feteer_banner (140546b)
[3/11] shawarma_banner...   OK shawarma_banner (113611b)
[4/11] saj_banner...   OK saj_banner (130351b)
[5/11] burgers_banner...   OK burgers_banner (98333b)
[6/11] grills_banner...   OK grills_banner (146571b)
[7/11] meals_banner...   OK meals_banner (173284b)
[8/11] salads_banner...   OK salads_banner (221034b)
[9/11] sides_banner...   OK sides_banner (118889b)
[10/11] juices_banner...   OK juices_banner (121319b)
[11/11] cocktails_banner...   OK cocktails_banner (103703b)

Done: 11/11 banners
